Kate Hoey,opp
Mr. Andrew Turner,opp
Sir Tony Baldry,gov
Chris McCafferty,opp
Andrew Selous,opp
Jess Phillips,opp
Mr. David Crausby,opp
Mark Garnier,gov
Mr. Charles Kennedy,opp
William Hague,opp
Alun Cairns,gov
Ms Angela Eagle,opp
Mr. Michael Fabricant,opp
Mrs Sharon Hodgson,opp
Linda Perham,opp
Mr. Derek Twigg,opp
Andy Burnham,opp
Mark Lancaster,gov
Mr. Nigel Dodds,opp
Mr. David Cameron,opp
Mr. Dennis Skinner,opp
Stephen Lloyd,gov
Jeremy Corbyn,gov
John Mann,opp
Edward Miliband,opp
Mrs. Louise Ellman,gov
Jeremy Corbyn,opp
Valerie Vaz,opp
Willie Rennie,opp
George Osborne,gov
Mr Marcus Jones,gov
Gavin Shuker,opp
Seema Kennedy,gov
Mr Kevan Jones,opp
Simon Hart,gov
Kali Mountford,opp
Harriet Harman,gov
Mr Iain McKenzie,opp
Ms Angela C. Smith,gov
Mr. David Rendel,opp
Liz Kendall,opp
Richard Burden,gov
Siobhain McDonagh,opp
Mr. Michael Howard,opp
Edward Miliband,opp
William Hague,gov
Mr. John Greenway,opp
Mr Iain Wright,opp
Mr. Gregory Campbell,opp
Mr. Tom Clarke,gov
Kerry McCarthy,opp
Emma Reynolds,opp
Chris Bryant,opp
Louise Mensch,gov
Damian Green,gov
Teresa Pearce,opp
Edward Miliband,opp
Ms Harriet Harman,opp
Mr. Mark Lazarowicz,opp
Ms Harriet Harman,opp
Mr. Charles Kennedy,opp
Edward Miliband,opp
Dr Julian Lewis,gov
Mr. Tom Clarke,opp
Damian Green,gov
Steve Brine,gov
Naz Shah,opp
Andy King,gov
Mr Khalid Mahmood,opp
Dan Jarvis,opp
Mr. David Marshall,gov
Edward Miliband,opp
Barbara Follett,gov
Lembit Öpik,opp
Stephen Phillips,gov
Kelvin Hopkins,gov
Chris Evans,opp
Angus Robertson,opp
Julie Hilling,opp
Jeremy Corbyn,opp
Amber Rudd,gov
Graeme Morrice,opp
Oliver Dowden,gov
George Osborne,gov
Edward Miliband,opp
Edward Miliband,opp
Geoff Hoon,gov
Jeremy Lefroy,gov
Daniel Kawczynski,gov
Helen Hayes,opp
Mr. Michael Howard,opp
Mr. Simon Burns,opp
Edward Miliband,opp
Claire Perry,gov
Charlotte Atkins,gov
Sir Teddy Taylor,opp
Mr. David Cameron,opp
Roger Williams,gov
Mr. Tony Lloyd,opp
Mr. Bernie Grant,opp
Stella Creasy,opp
Jeremy Corbyn,opp
Kevin Foster,gov
Mr James Gray,gov
Bob Russell,opp
Crispin Blunt,gov
Edward Miliband,opp
Rev. Martin Smyth,opp
Karl Turner,opp
Phil Sawford,opp
Ian Murray,opp
Mr Kevin Barron,opp
George Osborne,gov
Mr Aidan Burley,gov
Simon Danczuk,opp
Paul Uppal,gov
Mr. Charles Kennedy,opp
Jeremy Corbyn,opp
Sir Gerald Kaufman,gov
Mr. Michael Howard,opp
Lisa Nandy,opp
Siobhain McDonagh,opp
Edward Miliband,opp
Mr. Eddie McGrady,opp
Edward Miliband,opp
Lynne Jones,gov
Mr. Charles Kennedy,opp
Michael Howard,opp
Kate Hoey,opp
Iain Stewart,gov
Mr Lee Scott,gov
Mr. Robin Cook,opp
Steve Baker,gov
Maggie Throup,gov
Mr. Vernon Coaker,opp
Jeremy Corbyn,opp
Edward Miliband,opp
Mr. Richard Bacon,opp
Damian Green,gov
Sir Stuart Bell,gov
Liz Kendall,opp
Esther McVey,gov
William Hague,gov
Ms Dawn Butler,gov
Mr. Tom Levitt,opp
Amber Rudd,gov
James Berry,gov
Michael Fabricant,opp
Mr. David Cameron,opp
Peter Heaton-Jones,gov
